t,x,x_dot,theta,theta_dot,F_total,F_pend,F_car
0.0,0.0,0.0,0.05,0.0,73.80901027312285,73.80901027312285,0.0
0.02,0.07072768389207075,7.139472491001131,0.25772352264132636,20.848901454910415,75.36795955924238,122.2740839440373,-46.90612438479492
0.04,0.2867828581739248,15.045760448231707,0.8707677308006966,40.54459107430773,66.8475028110218,122.2740839440373,-55.42658113301551
0.06,0.7007627676682336,26.61440696416301,1.8077983038979826,48.762471713342954,61.88307219709463,122.2740839440373,-60.391011746942674
0.08,1.3397946573375519,36.547184653752254,2.632884096008213,31.959348413166776,61.06351792538018,122.2740839440373,-61.21056601865712
0.1,2.1325057786564567,42.28977722248122,3.104552742106008,15.98366276157098,60.81510271079333,122.2740839440373,-61.45898123324397
0.12,3.0247601554006027,46.89893087634652,3.2877452297867205,2.4492801647181075,60.81510271079333,122.2740839440373,-61.45898123324397
0.14,3.9781380456403808,46.953939028215935,3.290709768550024,2.062854509205888,60.81510271079333,122.2740839440373,-61.45898123324397
0.16,4.9326092998691236,47.00176234952679,3.2859848528129385,1.7011772506692306,60.81510271079333,122.2740839440373,-61.45898123324397
0.18,5.88806006381381,47.03979614329909,3.2739907275115296,1.3793905172006649,60.81510271079333,122.2740839440373,-61.45898123324397
0.2,6.844316092017097,47.066075061631,3.255478753314572,1.1104174641558289,60.81510271079333,122.2740839440373,-61.45898123324397
0.22,7.8011499373026965,47.07936856171898,3.231509235800249,0.9045958432213984,60.81510271079333,122.2740839440373,-61.45898123324397
0.24,8.758292004177513,47.07920080730987,3.203412737718198,0.7692888835205718,60.81510271079333,122.2740839440373,-61.45898123324397
0.26,9.715445237129778,47.06576320529628,3.1727296654662616,0.7086075170150561,60.81510271079333,122.2740839440373,-61.45898123324397
0.28,10.67230241980669,47.03973783374926,3.1411270600633903,0.7233420451242127,60.81510271079333,122.2740839440373,-61.45898123324397
0.3,11.628564326652786,47.00210669216757,3.110298133615241,0.8110981426294497,60.81510271079333,122.2740839440373,-61.45898123324397
0.32,12.583956723915279,46.95403942102514,3.081856322203233,0.9665352883710396,60.81510271079333,122.2740839440373,-61.45898123324397
0.34,13.53824468261723,46.89690594811114,3.0572378730145218,1.1815967638347122,60.81510271079333,122.2740839440373,-61.45898123324397
0.36,14.491243557671284,46.832382476872,3.037623859870758,1.4456967401562757,60.81510271079333,122.2740839440373,-61.45898123324397
0.38,15.4428267324321,46.76256982830555,3.023886174912226,1.7459110739847603,60.81510271079333,122.2740839440373,-61.45898123324397
0.4,16.392930471838554,46.690048556676366,3.0165562478855548,2.0672479404928557,60.81510271079333,122.2740839440373,-61.45898123324397
0.42,17.341556040282565,46.617831978559245,3.0158124892173293,2.393070131578366,60.81510271079333,122.2740839440373,-61.45898123324397
0.44,18.28876891522271,46.54921152444117,3.021482871490738,2.7057414762487344,60.81510271079333,122.2740839440373,-61.45898123324397
0.46,19.23469471611113,46.487506488914654,3.0330612910077326,2.9875728072549457,60.81510271079333,122.2740839440373,-61.45898123324397
0.48,20.179511498877936,46.435742842623874,3.0497386962553383,3.2221021612873417,60.81510271079333,122.2740839440373,-61.45898123324397
0.5,21.12343838960746,46.39630680703391,3.070450972606609,3.3956184529303926,60.81510271079333,122.2740839440373,-61.45898123324397
0.52,22.06672113730101,46.37064562735589,3.093944256557652,3.498654319953591,60.81510271079333,122.2740839440373,-61.45898123324397
0.54,23.00961591026873,46.35909734140684,3.118854732082236,3.5270486763020283,60.81510271079333,122.2740839440373,-61.45898123324397
0.56,23.9523732080183,46.36090041783736,3.1437955534186854,3.482243403287667,60.81510271079333,122.2740839440373,-61.45898123324397
0.58,24.89522373398884,46.37437028930109,3.1674408860507053,3.370739451570106,60.81510271079333,122.2740839440373,-61.45898123324397
0.6,25.83836739075784,46.397172647379655,3.1885979519610133,3.202939158010109,60.81510271079333,122.2740839440373,-61.45898123324397
0.62,26.78196558594829,46.42660859121654,3.206261896678797,2.9917569009230887,60.81510271079333,122.2740839440373,-61.45898123324397
0.64,27.726136315583354,46.45985408147756,3.219652920247938,2.7513331904878204,60.81510271079333,122.2740839440373,-61.45898123324397
0.66,28.670951304377486,46.494137339841735,3.2282382279286095,2.4960249582432215,60.81510271079333,122.2740839440373,-61.45898123324397
